City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Kloulklubed,PW,81.66,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
80,Taltal,CL,71.53,few clouds,-25.4,-70.4833,Residencial Karime
83,Sao Filipe,CV,74.68,clear sky,14.8961,-24.4956,Hotel Xaguate
86,Santa Elena,EC,83.75,clear sky,-2.2333,-80.85,HOTEL CISNE II
87,Daru,PG,77.58,light rain,-9.0763,143.2092,Daru Lodge
88,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
89,Paso De Carrasco,UY,71.74,overcast clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
90,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
95,Port Moresby,PG,75.92,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
98,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
102,Rikitea,PF,78.8,overcast clouds,-23.1203,-134.9692,People ThankYou
103,Porto Belo,BR,89.8,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
106,Atuona,PF,78.82,clear sky,-9.8,-139.0333,Villa Enata
108,Poum,NC,80.78,overcast clouds,-20.2333,164.0167,
109,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Biak,ID,75.9,overcast clouds,-0.9131,122.8766,Penginapan Kim
114,Kieta,PG,80.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
116,Miandrivazo,MG,75.09,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
119,Minab,IR,70.12,clear sky,27.1467,57.0801,Bam campground
121,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
122,Kinango,KE,75.4,overcast clouds,-4.1372,39.3153,Legacy Hotel
123,Hilo,US,76.12,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
127,Raga,SS,72.84,overcast clouds,8.4596,25.678,
130,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
131,Axim,GH,80.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
132,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
133,Kulhudhuffushi,MV,80.31,clear sky,6.6221,73.07,Haajy Guest House 1
134,San Jose Del Potrero,HN,81.73,clear sky,14.8333,-87.2833,
136,Kavaratti,IN,78.69,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
137,Cidreira,BR,73.99,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
143,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
144,Bechem,GH,84.45,overcast clouds,7.0903,-2.025,Orange Hotel
147,Hobyo,SO,76.23,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
151,Paracuru,BR,84.22,few clouds,-3.41,-39.0306,Hotel Vento Brasil
156,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
157,Samarai,PG,79.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
160,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
161,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
162,Kankan,GN,83.14,scattered clouds,10.3854,-9.3057,Hotel Bate
163,Arraial Do Cabo,BR,85.96,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
164,Nobres,BR,88.56,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
167,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
173,Monte Azul,BR,76.48,light rain,-15.155,-42.8747,Hotel Delfino
176,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
180,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
182,Brufut,GM,84.29,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
183,Bengkulu,ID,74.25,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
186,Tadine,NC,79.43,overcast clouds,-21.55,167.8833,
188,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
191,Lazaro Cardenas,MX,82.96,clear sky,17.9583,-102.2,quinta antigua
198,Sur,OM,72.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
202,Shakawe,BW,70.48,light rain,-18.3667,21.85,Ditlhapi Guest House
213,Ilhabela,BR,81.14,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
217,Gizo,SB,82.58,light rain,-8.103,156.8419,Imagination Island
218,Road Town,VG,73.49,moderate rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
220,Cayenne,GF,84.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
222,Beoumi,CI,80.74,scattered clouds,7.6736,-5.5764,Hôtel le Goly
223,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
224,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
226,Richards Bay,ZA,72.93,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
227,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
234,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
240,Padang,ID,74.16,overcast clouds,-0.9492,100.3543,Mercure Padang
