City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Dukat,RU,62.55,155.55,-21.39,69,0,1.88,clear sky
114,Kieta,PG,-6.2167,155.6333,80.06,83,100,6.44,overcast clouds
115,Yerbogachen,RU,61.2767,108.0108,8.4,97,100,4.38,overcast clouds
116,Miandrivazo,MG,-19.5167,45.4667,75.09,91,100,7.43,moderate rain
117,Ust-Koksa,RU,50.2696,85.6108,-3.69,80,52,1.3,broken clouds
118,Leningradskiy,RU,69.3833,178.4167,-22.18,96,7,4.36,clear sky
119,Minab,IR,27.1467,57.0801,70.12,64,1,2.3,clear sky
120,Coos Bay,US,43.3665,-124.2179,50.23,95,44,6.78,scattered clouds
121,Martapura,ID,-3.4167,114.85,75.29,94,100,4.61,overcast clouds
122,Kinango,KE,-4.1372,39.3153,75.4,89,100,3.4,overcast clouds
123,Hilo,US,19.7297,-155.09,76.12,77,0,0.0,clear sky
124,Zeya,RU,53.75,127.2667,-2.99,86,98,4.23,overcast clouds
125,Ulaanbaatar,MN,47.9077,106.8832,-21.87,69,0,2.24,clear sky
126,East London,ZA,-33.0153,27.9116,69.75,85,100,18.39,light rain
127,Raga,SS,8.4596,25.678,72.84,19,100,4.88,overcast clouds
128,New Norfolk,AU,-42.7826,147.0587,56.71,67,100,1.25,overcast clouds
129,Payakumbuh,ID,-0.2202,100.6308,69.62,98,100,2.17,overcast clouds
130,Ixtapa,MX,20.7,-105.2,76.23,65,75,2.3,broken clouds
131,Axim,GH,4.8699,-2.2405,80.62,81,3,10.76,clear sky
132,Neuquen,AR,-38.9516,-68.0591,75.09,41,0,3.44,clear sky
133,Kulhudhuffushi,MV,6.6221,73.07,80.31,71,9,10.4,clear sky
134,San Jose Del Potrero,HN,14.8333,-87.2833,81.73,37,0,11.88,clear sky
135,Nago,JP,26.5881,127.9761,57.27,68,73,13.78,broken clouds
136,Kavaratti,IN,10.5669,72.642,78.69,61,30,9.55,scattered clouds
137,Cidreira,BR,-30.1811,-50.2056,73.99,94,100,8.93,heavy intensity rain
138,Guerrero Negro,MX,27.9769,-114.0611,66.36,24,0,1.45,clear sky
139,Jaworzno,PL,50.2053,19.275,35.31,99,9,9.28,clear sky
140,Aykhal,RU,66.0,111.5,-25.06,100,100,4.52,overcast clouds
141,Avallon,FR,47.4833,3.9,41.43,74,100,7.9,overcast clouds
142,Pacific Grove,US,36.6177,-121.9166,64.56,50,0,1.01,clear sky
143,Manado,ID,1.487,124.8455,75.97,100,40,1.14,scattered clouds
144,Bechem,GH,7.0903,-2.025,84.45,41,90,1.52,overcast clouds
145,Faya,SA,18.3851,42.4509,55.51,77,3,3.51,clear sky
146,Celina,US,40.5489,-84.5702,19.85,87,91,5.97,overcast clouds
147,Hobyo,SO,5.3505,48.5268,76.23,70,5,10.47,clear sky
148,Aras,ES,42.5617,-2.356,39.06,56,0,6.91,clear sky
149,Nanning,CN,22.8167,108.3167,50.45,71,100,0.92,light rain
150,Seoul,KR,37.5683,126.9778,22.44,56,2,2.42,clear sky
151,Paracuru,BR,-3.41,-39.0306,84.22,66,20,11.43,few clouds
152,Kempele,FI,64.9131,25.5034,25.12,86,100,10.36,overcast clouds
153,Portland,US,45.5234,-122.6762,50.94,83,75,1.01,broken clouds
154,Jinxiang,CN,27.4327,120.6062,45.68,69,100,15.52,overcast clouds
155,Bluff,NZ,-46.6,168.3333,50.81,74,94,13.69,overcast clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,43,0,19.57,clear sky
157,Samarai,PG,-10.6167,150.6667,79.95,82,100,8.81,overcast clouds
158,Ponta Do Sol,PT,32.6667,-17.1,68.13,48,0,10.65,clear sky
159,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,85,0,12.66,clear sky
160,San Cristobal,VE,7.7669,-72.225,75.38,69,98,1.72,overcast clouds
161,Isangel,VU,-19.55,169.2667,80.71,94,100,14.97,overcast clouds
162,Kankan,GN,10.3854,-9.3057,83.14,11,38,4.0,scattered clouds
163,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,0,12.66,thunderstorm
164,Nobres,BR,-14.7203,-56.3275,88.56,60,55,1.92,broken clouds
165,Manono,CD,-7.3,27.4167,69.26,94,100,1.95,overcast clouds
166,Wolnzach,DE,48.6038,11.6257,37.4,78,20,1.14,few clouds
167,Avarua,CK,-21.2078,-159.775,80.65,78,100,14.97,light rain
168,Kurchum,KZ,48.5722,83.6542,-2.27,80,1,3.38,clear sky
169,Zaraza,VE,9.3503,-65.3245,92.82,33,90,7.47,overcast clouds
170,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,16.11,few clouds
171,Luderitz,NA,-26.6481,15.1594,68.77,76,96,4.99,overcast clouds
172,Necochea,AR,-38.5473,-58.7368,65.03,72,100,23.11,overcast clouds
173,Monte Azul,BR,-15.155,-42.8747,76.48,82,100,4.83,light rain
174,Medicine Hat,CA,50.0501,-110.6683,42.51,75,100,3.0,overcast clouds
175,Avera,US,33.194,-82.5271,52.68,41,6,7.78,clear sky
176,Touros,BR,-5.1989,-35.4608,88.7,58,3,12.84,clear sky
177,Ulladulla,AU,-35.35,150.4667,67.87,76,99,10.54,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,47.7,82,79,5.37,broken clouds
179,Kodiak,US,57.79,-152.4072,33.31,86,100,0.0,overcast clouds
180,Alofi,NU,-19.0595,-169.9187,78.69,94,100,4.61,overcast clouds
181,Zhuzhou,CN,27.8333,113.15,41.13,83,100,3.15,overcast clouds
182,Brufut,GM,13.3814,-16.7518,84.29,42,0,8.05,clear sky
183,Bengkulu,ID,-3.8004,102.2655,74.25,96,100,9.01,light rain
184,Xining,CN,36.6167,101.7667,12.29,90,100,4.23,light snow
185,Port Macquarie,AU,-31.4333,152.9167,62.56,73,86,14.47,overcast clouds
186,Tadine,NC,-21.55,167.8833,79.43,90,100,7.65,overcast clouds
187,Sabha,LY,27.0377,14.4283,56.88,25,0,6.8,clear sky
188,Cockburn Town,TC,21.4612,-71.1419,80.56,54,40,11.5,scattered clouds
189,Artyom,AZ,40.4723,50.333,39.34,80,100,24.54,overcast clouds
190,Norman Wells,CA,65.282,-126.8329,-7.58,91,99,6.85,overcast clouds
191,Lazaro Cardenas,MX,17.9583,-102.2,82.96,51,0,7.67,clear sky
192,Chuzhou,CN,32.3219,118.2978,31.93,55,99,5.37,overcast clouds
193,Mar Del Plata,AR,-38.0023,-57.5575,64.09,100,100,5.01,light rain
194,Vestmannaeyjar,IS,63.4427,-20.2734,30.31,58,84,6.44,broken clouds
195,Gat,IL,31.61,34.7642,52.48,100,77,7.29,broken clouds
196,Victoria,HK,22.2855,114.1577,61.25,82,100,5.99,overcast clouds
197,Yulara,AU,-25.2406,130.9889,64.24,59,0,5.75,clear sky
198,Sur,OM,22.5667,59.5289,72.73,52,0,6.67,clear sky
199,Wanaka,NZ,-44.7,169.15,47.62,86,29,4.63,scattered clouds
200,Clinton,US,42.587,-82.9199,23.95,72,40,1.01,scattered clouds
201,Jalu,LY,29.0331,21.5482,57.29,47,0,2.82,clear sky
202,Shakawe,BW,-18.3667,21.85,70.48,82,93,3.67,light rain
203,Islampur,IN,26.2667,88.2,53.78,88,0,3.4,clear sky
204,Jiangyou,CN,31.7667,104.7167,39.9,97,100,3.51,light rain
205,Mtinko,TZ,-4.55,34.85,60.1,90,100,1.68,overcast clouds
206,Naze,JP,28.3667,129.4833,51.01,69,100,16.71,overcast clouds
207,Zirgan,RU,53.2222,55.9185,23.45,94,100,4.07,overcast clouds
208,Tasiilaq,GL,65.6145,-37.6368,23.16,58,100,9.73,overcast clouds
209,Bredasdorp,ZA,-34.5322,20.0403,69.28,73,100,21.85,overcast clouds
210,Nome,US,64.5011,-165.4064,-0.33,60,0,3.44,clear sky
211,Semnan,IR,35.5729,53.3971,39.04,41,0,2.3,clear sky
212,Airai,TL,-8.9266,125.4092,60.91,92,100,2.01,overcast clouds
213,Ilhabela,BR,-23.7781,-45.3581,81.14,85,99,4.29,overcast clouds
214,Qaqortoq,GL,60.7167,-46.0333,3.7,79,1,5.3,clear sky
215,Terrace Bay,CA,48.7834,-87.1,11.82,84,100,9.66,overcast clouds
216,Waipawa,NZ,-41.4122,175.5153,55.45,96,100,13.02,light rain
217,Gizo,SB,-8.103,156.8419,82.58,79,98,10.45,light rain
218,Road Town,VG,18.4167,-64.6167,73.49,100,93,11.5,moderate rain
219,Mildura,AU,-34.2,142.15,69.76,40,75,9.22,broken clouds
220,Cayenne,GF,4.9333,-52.3333,84.24,80,75,5.99,light rain
221,Mayo,US,38.8876,-76.5119,35.24,46,0,21.0,clear sky
222,Beoumi,CI,7.6736,-5.5764,80.74,28,34,2.1,scattered clouds
223,Quatre Cocos,MU,-20.2078,57.7625,80.1,84,100,18.23,light rain
224,Labuan,MY,5.2767,115.2417,82.76,74,20,6.91,few clouds
225,Kushmurun,KZ,52.4503,64.6311,18.23,82,100,7.74,overcast clouds
226,Richards Bay,ZA,-28.783,32.0377,72.93,84,100,10.27,light rain
227,Natal,BR,-5.795,-35.2094,88.45,62,20,14.97,few clouds
228,Khatanga,RU,71.9667,102.5,-31.72,99,99,2.08,overcast clouds
229,Ossora,RU,59.2353,163.0719,13.37,89,100,9.51,overcast clouds
230,Neyshabur,IR,36.2133,58.7958,41.94,68,87,5.23,overcast clouds
231,Seguin,US,29.5688,-97.9647,51.48,33,0,1.01,clear sky
232,Afyonkarahisar,TR,38.75,30.6667,20.46,81,3,1.79,clear sky
233,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,10.36,few clouds
234,Saint-Georges,GD,12.0564,-61.7485,83.88,65,20,20.71,few clouds
235,Beringovskiy,RU,63.05,179.3167,-9.99,92,18,14.5,few clouds
236,Gillette,US,44.2911,-105.5022,44.02,33,75,21.0,broken clouds
237,Fortuna,US,40.5982,-124.1573,57.92,71,0,1.99,clear sky
238,Zhigansk,RU,66.7697,123.3711,-30.14,100,100,5.79,overcast clouds
239,Corrientes,AR,-27.4806,-58.8341,92.98,58,0,14.97,clear sky
240,Padang,ID,-0.9492,100.3543,74.16,97,100,1.7,overcast clouds
241,Ketchikan,US,55.3422,-131.6461,44.58,87,100,11.5,light rain
242,Manzanillo,CU,20.3433,-77.1167,88.21,27,4,8.05,clear sky
243,Coihaique,CL,-45.5752,-72.0662,70.41,46,75,8.05,broken clouds
244,Ushtobe,KZ,45.2514,77.9838,17.08,81,4,10.2,clear sky
245,Havoysund,NO,70.9963,24.6622,29.28,70,9,32.23,clear sky
246,Mitzic,GA,0.7821,11.549,74.16,75,13,3.53,few clouds
247,Lebu,CL,-37.6167,-73.65,64.22,68,0,20.09,clear sky
248,Rio Gallegos,AR,-51.6226,-69.2181,77.05,29,75,27.63,broken clouds
249,Kristinehamn,SE,59.3098,14.1081,37.38,86,89,16.49,light rain
250,Sorland,NO,67.667,12.6934,39.27,76,100,32.26,overcast clouds
251,Cabo San Lucas,MX,22.8909,-109.9124,75.61,59,0,3.0,clear sky
252,Adre,TD,13.4667,22.2,66.02,17,4,14.92,clear sky
253,Kananga,CD,-5.8958,22.4178,70.54,87,95,1.92,light rain
254,Victor Harbor,AU,-35.5667,138.6167,75.79,70,75,5.93,broken clouds
255,Srednekolymsk,RU,67.45,153.6833,-39.71,99,39,3.8,scattered clouds
256,Vaitape,PF,-16.5167,-151.75,81.12,72,12,18.75,few clouds
257,Lufilufi,WS,-13.8745,-171.5986,78.58,80,92,16.37,light rain
258,Kedrovyy,RU,56.1667,91.8167,25.21,81,100,9.06,overcast clouds
259,Ararangua,BR,-28.9347,-49.4858,77.18,88,100,3.24,moderate rain
260,Upernavik,GL,72.7868,-56.1549,-0.85,98,100,4.74,overcast clouds
