City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
158,Bambous Virieux,75,MU,2022-02-05 17:13:30,89,-20.3428,57.7575,80.22,14.97
159,Fortuna,40,US,2022-02-05 17:13:31,94,40.5982,-124.1573,45.93,1.01
160,Sitka,100,US,2022-02-05 17:13:32,81,57.0531,-135.33,42.69,12.66
161,Guerrero Negro,0,MX,2022-02-05 17:13:32,30,27.9769,-114.0611,61.59,3.71
162,Pisco,44,PE,2022-02-05 17:13:33,78,-13.7,-76.2167,71.02,9.22
163,Anadyr,4,RU,2022-02-05 17:08:59,96,64.75,177.4833,-22.45,3.44
164,Ribeira Grande,75,PT,2022-02-05 17:13:33,67,38.5167,-28.7,63.0,11.5
165,Waipawa,100,NZ,2022-02-05 17:13:34,97,-41.4122,175.5153,55.45,13.38
166,Amapa,96,BR,2022-02-05 17:13:35,90,1.0,-52.0,79.79,3.98
167,Vila Franca Do Campo,99,PT,2022-02-05 17:13:35,77,37.7167,-25.4333,63.01,13.22
168,Umm Lajj,0,SA,2022-02-05 17:13:35,58,25.0213,37.2685,66.15,16.64
169,Babu,100,CN,2022-02-05 17:13:36,82,24.4167,111.5167,47.66,4.23
170,Palana,54,RU,2022-02-05 17:13:36,82,59.1167,159.9667,4.44,10.63
171,Lentvaris,100,LT,2022-02-05 17:13:37,94,54.65,25.05,34.09,10.36
172,Ngong,100,KE,2022-02-05 17:13:37,52,-1.3618,36.6566,71.33,3.09
173,Ostersund,85,SE,2022-02-05 17:11:01,63,63.1792,14.6357,25.25,12.66
174,Suntar,50,RU,2022-02-05 17:13:38,100,62.1444,117.6319,-22.59,3.47
175,Adrar,34,MR,2022-02-05 17:10:19,6,20.5022,-10.0711,82.71,8.34
176,Meiktila,0,MM,2022-02-05 17:13:39,47,20.8667,95.8667,67.91,9.1
177,Neuquen,40,AR,2022-02-05 17:10:21,40,-38.9516,-68.0591,71.49,0.0
178,Padang,100,ID,2022-02-05 17:13:40,95,-0.9492,100.3543,74.57,2.19
179,Srinivaspur,68,IN,2022-02-05 17:13:40,89,13.3333,78.2167,70.81,8.9
180,Kristiansund,75,NO,2022-02-05 17:13:41,60,63.1115,7.732,34.45,6.91
181,Yellowknife,100,CA,2022-02-05 17:08:55,86,62.456,-114.3525,-13.59,8.01
182,Portoferraio,99,IT,2022-02-05 17:13:41,76,42.8115,10.3146,56.97,11.16
183,Norden,100,DE,2022-02-05 17:13:42,90,53.6,7.2,43.97,28.39
184,Kodiak,0,US,2022-02-05 17:09:40,86,57.79,-152.4072,31.51,4.61
185,Raga,100,SS,2022-02-05 17:13:42,18,8.4596,25.678,74.82,4.76
186,Begichevskiy,48,RU,2022-02-05 17:13:43,100,53.7961,38.255,2.55,5.08
187,Kavieng,85,PG,2022-02-05 17:09:44,79,-2.5744,150.7967,80.71,4.99
188,San Quintin,0,MX,2022-02-05 17:14:44,26,30.4833,-115.95,60.24,2.35
189,Portland,75,US,2022-02-05 17:14:26,94,45.5234,-122.6762,45.84,1.01
190,Bilibino,11,RU,2022-02-05 17:14:44,94,68.0546,166.4372,-14.01,4.85
191,Constitucion,0,CL,2022-02-05 17:14:45,53,-35.3333,-72.4167,72.37,15.28
192,Santarem,20,BR,2022-02-05 17:14:45,79,-2.4431,-54.7083,84.33,6.91
193,Port Lincoln,100,AU,2022-02-05 17:14:46,80,-34.7333,135.8667,65.8,15.99
194,Cermik,1,TR,2022-02-05 17:14:46,81,38.1361,39.4493,34.29,6.17
195,Athens,0,GR,2022-02-05 17:09:57,72,37.9795,23.7162,55.18,1.99
196,Thompson,71,CA,2022-02-05 17:10:50,94,55.7435,-97.8558,-17.37,2.68
197,Khatassy,95,RU,2022-02-05 17:14:48,100,61.9036,129.6383,-27.02,0.98
198,Nyurba,85,RU,2022-02-05 17:14:48,100,63.2842,118.3319,-23.94,3.6
199,Labuhan,100,ID,2022-02-05 17:14:49,88,-6.8844,112.2051,78.51,7.09
200,Krasnozerskoye,94,RU,2022-02-05 17:14:49,88,53.9828,79.2374,7.66,8.1
201,Mana,68,GF,2022-02-05 17:14:50,71,5.6592,-53.7767,82.11,9.04
202,Mercedes,94,AR,2022-02-05 17:14:50,64,-34.6515,-59.4307,71.51,12.64
203,Price,0,US,2022-02-05 17:14:51,54,39.5994,-110.8107,37.42,0.0
204,Isangel,100,VU,2022-02-05 17:14:51,90,-19.55,169.2667,79.29,12.5
205,Abashiri,99,JP,2022-02-05 17:14:52,91,44.0213,144.2697,21.94,13.13
206,Jedrzejow,68,PL,2022-02-05 17:14:52,85,50.6394,20.3045,35.37,7.0
207,Lukulu,97,ZM,2022-02-05 17:14:53,90,-14.3707,23.242,68.72,5.59
208,Mahebourg,75,MU,2022-02-05 17:14:53,89,-20.4081,57.7,80.26,14.97
209,Foca,1,TR,2022-02-05 17:14:54,44,38.6703,26.7566,46.26,2.68
210,Outlook,100,CA,2022-02-05 17:14:55,94,51.5001,-107.0513,22.69,4.43
211,Vila Velha,40,BR,2022-02-05 17:13:57,73,-20.3297,-40.2925,84.15,11.99
212,Poddorye,100,RU,2022-02-05 17:14:56,95,57.4695,31.1156,22.82,9.82
213,Hamilton,40,US,2022-02-05 17:14:56,74,39.1834,-84.5333,23.14,1.01
214,Norman Wells,95,CA,2022-02-05 17:12:41,94,65.282,-126.8329,-11.65,5.99
215,Verkhoyansk,59,RU,2022-02-05 17:14:57,100,67.5447,133.385,-44.61,1.54
216,Comodoro Rivadavia,0,AR,2022-02-05 17:14:27,43,-45.8667,-67.5,73.26,16.11
217,Luanda,98,AO,2022-02-05 17:13:01,73,-8.8368,13.2343,79.21,13.8
218,Campoverde,56,PE,2022-02-05 17:14:58,36,-8.4753,-74.8058,87.49,3.71
219,Vestmannaeyjar,90,IS,2022-02-05 17:14:18,52,63.4427,-20.2734,30.33,2.3
220,Torbay,100,CA,2022-02-05 17:14:59,94,47.6666,-52.7314,49.75,24.16
221,Ordu,99,TR,2022-02-05 17:14:59,80,40.9086,37.6845,28.9,5.73
222,Nouadhibou,0,MR,2022-02-05 17:14:20,77,20.931,-17.0347,66.74,18.34
223,Koumac,76,NC,2022-02-05 17:15:00,80,-20.5667,164.2833,77.47,1.3
224,Lamar,5,US,2022-02-05 17:15:01,76,33.6668,-95.5836,37.24,4.23
225,Goderich,99,CA,2022-02-05 17:15:01,62,43.7501,-81.7165,15.91,5.75
226,Ambunti,86,PG,2022-02-05 17:15:02,99,-4.2365,142.8448,72.57,1.63
227,Arzamas,97,RU,2022-02-05 17:16:03,98,55.3949,43.8399,12.94,3.53
228,Quang Ngai,100,VN,2022-02-05 17:16:03,92,15.1167,108.8,68.47,3.58
229,Itacoatiara,100,BR,2022-02-05 17:16:04,71,-3.1431,-58.4442,83.91,1.99
230,Sobolevo,100,RU,2022-02-05 17:11:05,96,54.4299,31.8996,23.2,12.15
231,Mirnyy,87,RU,2022-02-05 17:16:04,100,62.5353,113.9611,-9.06,3.47
232,Batavia,100,US,2022-02-05 17:13:01,66,41.85,-88.3126,18.77,3.0
233,Kargasok,100,RU,2022-02-05 17:16:05,96,59.0556,80.8572,18.54,5.19
234,Corralillo,0,CU,2022-02-05 17:16:06,57,22.9819,-80.5856,78.91,14.27
235,Quatre Cocos,100,MU,2022-02-05 17:16:06,85,-20.2078,57.7625,80.1,17.72
236,Marawi,30,PH,2022-02-05 17:16:07,93,7.9986,124.2928,69.66,2.24
237,Kodinsk,100,RU,2022-02-05 17:16:07,94,58.6881,99.1844,20.21,8.39
238,Voznesenskoye,94,RU,2022-02-05 17:16:08,99,54.89,42.7569,9.1,4.36
239,Souillac,75,MU,2022-02-05 17:16:08,89,-20.5167,57.5167,80.37,14.97
240,Jalu,0,LY,2022-02-05 17:12:11,44,29.0331,21.5482,59.14,2.98
241,Flinders,99,AU,2022-02-05 17:16:09,78,-34.5833,150.8552,69.39,7.0
242,Pocone,80,BR,2022-02-05 17:16:10,61,-16.2567,-56.6228,88.3,4.41
243,Marrakesh,0,MA,2022-02-05 17:16:10,33,31.6315,-8.0083,73.47,6.91
244,Meulaboh,100,ID,2022-02-05 17:11:33,88,4.1363,96.1285,75.97,6.49
245,Puerto Ayora,54,EC,2022-02-05 17:15:01,86,-0.7393,-90.3518,85.96,4.0
246,Carnarvon,24,AU,2022-02-05 17:12:51,76,-24.8667,113.6333,80.51,7.65
247,Naze,78,JP,2022-02-05 17:16:11,66,28.3667,129.4833,50.56,17.45
248,Palasa,97,IN,2022-02-05 17:13:29,53,18.7667,84.4167,67.28,3.53
249,Tandil,100,AR,2022-02-05 17:14:12,85,-37.3217,-59.1332,62.76,13.78
250,Yulara,0,AU,2022-02-05 17:16:12,52,-25.2406,130.9889,67.84,5.75
251,Englewood,75,US,2022-02-05 17:15:12,42,39.6478,-104.9878,48.78,1.01
252,Port Hardy,100,CA,2022-02-05 17:16:13,100,50.6996,-127.4199,39.76,6.91
253,Narsaq,0,GL,2022-02-05 17:16:14,69,60.9167,-46.05,7.02,5.86
254,Arman,54,RU,2022-02-05 17:14:52,72,59.7,150.1667,-1.89,11.95
255,Devils Lake,100,US,2022-02-05 17:16:14,89,48.1128,-98.8651,15.78,15.99
256,Nanortalik,17,GL,2022-02-05 17:16:15,58,60.1432,-45.2371,14.05,24.65
257,Beauchamps,95,FR,2022-02-05 17:16:15,79,50.012,1.5176,48.76,19.39
258,Aklavik,40,CA,2022-02-05 17:16:16,66,68.2191,-135.0107,-31.97,3.44
259,Barabai,78,ID,2022-02-05 17:16:16,97,-2.5833,115.3833,74.37,1.97
260,Batemans Bay,87,AU,2022-02-05 17:16:17,81,-35.7167,150.1833,64.09,7.94
261,Hirara,100,JP,2022-02-05 17:16:17,69,24.8,125.2833,61.12,21.0
262,Waingapu,100,ID,2022-02-05 17:16:18,87,-9.6567,120.2641,78.91,7.49
263,Cabo San Lucas,0,MX,2022-02-05 17:16:18,63,22.8909,-109.9124,68.31,2.3
264,Ambon,20,ID,2022-02-05 17:16:19,88,-3.6954,128.1814,77.14,4.61
265,Esna,0,EG,2022-02-05 17:16:19,37,25.2934,32.554,58.33,11.79
266,Cabadiangan,96,PH,2022-02-05 17:16:20,82,9.7531,122.4739,76.21,13.24
267,The Valley,40,AI,2022-02-05 17:16:21,73,18.217,-63.0578,82.26,14.97
268,Tessalit,0,ML,2022-02-05 17:13:59,8,20.1986,1.0114,76.62,8.41
269,Butaritari,14,KI,2022-02-05 17:16:21,69,3.0707,172.7902,82.38,18.14
270,Vila Do Maio,0,CV,2022-02-05 17:16:22,77,15.1333,-23.2167,83.19,12.73
271,Urayasu,40,JP,2022-02-05 17:16:22,43,35.6706,139.8886,38.01,6.91
272,Saint Anthony,75,US,2022-02-05 17:15:22,63,45.0205,-93.218,12.83,8.99
273,Abu Kamal,7,SY,2022-02-05 17:16:23,51,34.4506,40.9171,53.71,8.12
274,Madison,0,US,2022-02-05 17:16:00,58,34.7334,-86.5667,36.5,1.99
275,Port Macquarie,95,AU,2022-02-05 17:17:24,72,-31.4333,152.9167,61.9,13.65
276,Garowe,32,SO,2022-02-05 17:17:24,43,8.4054,48.4845,74.35,13.31
